Device,Order,NSamples,NTraces,NLabels,Time
GPU,4,100,50000,128,0.07467
GPU,8,100,50000,128,0.12205
GPU,16,100,50000,128,0.22002
GPU,32,100,50000,128,0.92365
GPU,2,200,50000,128,0.18429
GPU,4,200,50000,128,0.23553
GPU,8,200,50000,128,0.32995
GPU,16,200,50000,128,0.5302
GPU,32,200,50000,128,1.98
GPU,2,500,50000,128,0.64956
GPU,4,500,50000,128,0.76403
GPU,8,500,50000,128,1.05
GPU,16,500,50000,128,1.52
GPU,32,500,50000,128,5.54
GPU,2,1000,50000,128,1.51
GPU,4,1000,50000,128,1.76
GPU,8,1000,50000,128,2.22
GPU,16,1000,50000,128,3.25
GPU,32,1000,50000,128,11.84
GPU,2,2000,50000,128,3.42
GPU,4,2000,50000,128,3.89
GPU,8,2000,50000,128,4.91
GPU,16,2000,50000,128,7.05
GPU,32,2000,50000,128,23.13
GPU,2,100,50000,256,0.14515
GPU,4,100,50000,256,0.19918
GPU,8,100,50000,256,0.2963
GPU,16,100,50000,256,0.64249
GPU,32,100,50000,256,3.79
GPU,2,200,50000,256,0.48238
GPU,4,200,50000,256,0.58811
GPU,8,200,50000,256,0.77775
GPU,16,200,50000,256,1.64
GPU,32,200,50000,256,8.15
GPU,2,500,50000,256,1.65
GPU,4,500,50000,256,1.93
GPU,8,500,50000,256,2.42
GPU,16,500,50000,256,4.94
GPU,32,500,50000,256,24.39
GPU,2,1000,50000,256,3.75
GPU,4,1000,50000,256,4.31
GPU,8,1000,50000,256,5.31
GPU,16,1000,50000,256,10.28
GPU,32,1000,50000,256,51.45
GPU,2,2000,50000,256,8.15
GPU,4,2000,50000,256,9.28
GPU,8,2000,50000,256,11.19
GPU,16,2000,50000,256,21.3
GPU,2,100,20000,2,0.00071526
GPU,4,100,20000,2,0.00097466
GPU,8,100,20000,2,0.00135
GPU,16,100,20000,2,0.00197
GPU,32,100,20000,2,0.00359
GPU,2,200,20000,2,0.00141
GPU,4,200,20000,2,0.00181
GPU,8,200,20000,2,0.0025
GPU,16,200,20000,2,0.00394
GPU,32,200,20000,2,0.00716
GPU,2,400,20000,2,0.00271
GPU,4,400,20000,2,0.00359
GPU,8,400,20000,2,0.00538
GPU,16,400,20000,2,0.0076
GPU,32,400,20000,2,0.01416
GPU,2,800,20000,2,0.0054
GPU,4,800,20000,2,0.0072
GPU,8,800,20000,2,0.01067
GPU,16,800,20000,2,0.01539
GPU,32,800,20000,2,0.02824
GPU,2,1600,20000,2,0.01074
GPU,4,1600,20000,2,0.01455
GPU,8,1600,20000,2,0.02046
GPU,16,1600,20000,2,0.03073
GPU,32,1600,20000,2,0.0565
GPU,2,100,20000,4,0.0009973
GPU,4,100,20000,4,0.0014
GPU,8,100,20000,4,0.00196
GPU,16,100,20000,4,0.00358
GPU,32,100,20000,4,0.00689
GPU,2,200,20000,4,0.00181
GPU,4,200,20000,4,0.0028
GPU,8,200,20000,4,0.00383
GPU,16,200,20000,4,0.0071
GPU,32,200,20000,4,0.01368
GPU,2,400,20000,4,0.00389
GPU,4,400,20000,4,0.00556
GPU,8,400,20000,4,0.00776
GPU,16,400,20000,4,0.01413
GPU,32,400,20000,4,0.02746
GPU,2,800,20000,4,0.00774
GPU,4,800,20000,4,0.01018
GPU,8,800,20000,4,0.01551
GPU,16,800,20000,4,0.02819
GPU,32,800,20000,4,0.05479
GPU,2,1600,20000,4,0.01495
GPU,4,1600,20000,4,0.02024
