Device,Order,NSamples,NTraces,NLabels,Time
CPU,2,100,20000,64,0.03492903161538462
CPU,4,100,20000,64,0.04971946428000001
CPU,8,100,20000,64,0.12351578927500001
CPU,16,100,20000,64,0.303410287875
CPU,32,100,20000,64,0.7430129703333335
CPU,2,200,20000,64,0.061590773888888894
CPU,4,200,20000,64,0.09395405339622642
CPU,8,200,20000,64,0.21085525682608697
CPU,16,200,20000,64,0.634307794
CPU,32,200,20000,64,1.3436503320000002
CPU,2,400,20000,64,0.11189999163636365
CPU,4,400,20000,64,0.1640617542666667
CPU,8,400,20000,64,0.47793902380000003
CPU,16,400,20000,64,1.2714047353333333
CPU,32,400,20000,64,2.8325292560000004
CPU,2,800,20000,64,0.20716660183333335
CPU,4,800,20000,64,0.3127482596
CPU,8,800,20000,64,0.9743444466000001
CPU,16,800,20000,64,2.696484835
CPU,32,800,20000,64,13.589215893
CPU,2,1600,20000,64,0.3971238151666667
CPU,4,1600,20000,64,0.6311854915714286
CPU,8,1600,20000,64,2.3587317260000003
CPU,16,1600,20000,64,12.577370671
CPU,32,1600,20000,64,27.784841962
CPU,2,100,20000,128,0.07277975020588236
CPU,4,100,20000,128,0.10182003597959184
CPU,8,100,20000,128,0.2622122872105263
CPU,16,100,20000,128,0.6949313477142858
CPU,32,100,20000,128,1.3735698283333333
CPU,2,200,20000,128,0.12959581142105264
CPU,4,200,20000,128,0.18417960474074077
CPU,8,200,20000,128,0.525880788
CPU,16,200,20000,128,1.3123295406666668
CPU,32,200,20000,128,2.7653578760000004
CPU,2,400,20000,128,0.2254187471818182
CPU,4,400,20000,128,0.3755128710769231
CPU,8,400,20000,128,1.12915199925
CPU,16,400,20000,128,2.656557196
CPU,32,400,20000,128,12.973255787000001
CPU,2,800,20000,128,0.4347107015454546
CPU,4,800,20000,128,0.746775194
CPU,8,800,20000,128,2.3466131345
CPU,16,800,20000,128,12.865455023
CPU,32,800,20000,128,29.707018992000002
CPU,2,1600,20000,128,0.8464874106000001
CPU,4,1600,20000,128,1.5356138886666668
CPU,8,1600,20000,128,8.412731943
CPU,16,1600,20000,128,20.407001751000003
CPU,32,1600,20000,128,63.398153096
CPU,2,100,20000,256,0.15289684784375002
CPU,4,100,20000,256,0.21581839495652178
CPU,8,100,20000,256,0.571518057375
CPU,16,100,20000,256,1.3636458006666667
CPU,32,100,20000,256,2.99186632
CPU,2,200,20000,256,0.28549181447058825
CPU,4,200,20000,256,0.4060195335833333
CPU,8,200,20000,256,1.19653199825
CPU,16,200,20000,256,2.74086363
CPU,32,200,20000,256,6.723976472
CPU,2,400,20000,256,0.47447467280000005
CPU,4,400,20000,256,0.7853798401666666
CPU,8,400,20000,256,2.451460942
CPU,16,400,20000,256,6.551186029
CPU,32,400,20000,256,15.75463562
CPU,2,800,20000,256,0.9100761688
CPU,4,800,20000,256,1.5587741860000002
CPU,8,800,20000,256,5.82929283
CPU,16,800,20000,256,13.441057553
CPU,32,800,20000,256,27.078766608000002
CPU,2,1600,20000,256,1.7872479345
CPU,4,1600,20000,256,3.7404522160000004
CPU,8,1600,20000,256,11.803508803000001
CPU,16,1600,20000,256,25.806654232000003
CPU,32,1600,20000,256,56.939495091000005
