Device,Order,NSamples,NTraces,NLabels,Time
GPU,8,100,20000,128,0.03859
GPU,16,100,20000,128,0.09528
GPU,32,100,20000,128,0.62811
GPU,2,200,20000,128,0.02209
GPU,4,200,20000,128,0.04067
GPU,8,200,20000,128,0.08098
GPU,16,200,20000,128,0.1938
GPU,32,200,20000,128,1.31
GPU,2,400,20000,128,0.04442
GPU,4,400,20000,128,0.08429
GPU,8,400,20000,128,0.16324
GPU,16,400,20000,128,0.39851
GPU,32,400,20000,128,2.66
GPU,2,800,20000,128,0.09295
GPU,4,800,20000,128,0.17326
GPU,8,800,20000,128,0.32767
GPU,16,800,20000,128,0.82139
GPU,32,800,20000,128,5.77
GPU,2,1600,20000,128,0.18818
GPU,4,1600,20000,128,0.34534
GPU,8,1600,20000,128,0.66103
GPU,16,1600,20000,128,1.72
GPU,32,1600,20000,128,11.88
GPU,2,100,20000,256,0.02229
GPU,4,100,20000,256,0.04111
GPU,8,100,20000,256,0.08252
GPU,16,100,20000,256,0.38621
GPU,32,100,20000,256,1.78
GPU,2,200,20000,256,0.04616
GPU,4,200,20000,256,0.08605
GPU,8,200,20000,256,0.16835
GPU,16,200,20000,256,0.88082
GPU,32,200,20000,256,3.77
GPU,2,400,20000,256,0.09443
GPU,4,400,20000,256,0.17723
GPU,8,400,20000,256,0.34207
GPU,16,400,20000,256,2.18
GPU,32,400,20000,256,8.55
GPU,2,800,20000,256,0.1916
GPU,4,800,20000,256,0.36289
GPU,8,800,20000,256,0.69354
GPU,16,800,20000,256,4.78
GPU,32,800,20000,256,18.62
GPU,2,1600,20000,256,0.3903
GPU,4,1600,20000,256,0.74303
GPU,8,1600,20000,256,1.42
GPU,16,1600,20000,256,9.9
