Device,Order,NSamples,NTraces,NLabels,Time,Memory
CPU,2,100,10000,4,0.0019031875808177303,62176
CPU,8,100,10000,4,0.0035236263747353566,62176
CPU,32,100,10000,4,0.019261726473076925,62176
CPU,64,100,10000,4,0.053594186159574474,62176
CPU,2,500,10000,4,0.006152104599753695,62176
CPU,8,500,10000,4,0.011054487305309736,62176
CPU,32,500,10000,4,0.07335064831884058,62176
CPU,64,500,10000,4,0.21533288045833335,62176
CPU,2,1000,10000,4,0.012131286021844661,62176
CPU,8,1000,10000,4,0.02014118242168675,62176
CPU,32,1000,10000,4,0.1347893845,62176
CPU,64,1000,10000,4,0.4251298609166667,62176
CPU,2,100,20000,4,0.0025481910770801435,62176
CPU,8,100,20000,4,0.006115243228886169,62176
CPU,32,100,20000,4,0.03524080333802817,62176
CPU,64,100,20000,4,0.09442065466666667,62176
CPU,2,500,20000,4,0.009872071305719921,62176
CPU,8,500,20000,4,0.01877278704868914,62176
CPU,32,500,20000,4,0.1389384406388889,62176
CPU,64,500,20000,4,0.40200513415384614,62176
CPU,2,1000,20000,4,0.020424706375510207,62176
CPU,8,1000,20000,4,0.03769701787969925,62176
CPU,32,1000,20000,4,0.2668166431578948,62176
CPU,64,1000,20000,4,0.7322355878571428,62176
CPU,2,100,50000,4,0.005411404875541126,62176
CPU,8,100,50000,4,0.013937631557103064,62176
CPU,32,100,50000,4,0.08409699015000001,62176
CPU,64,100,50000,4,0.23568584072727272,62176
CPU,2,500,50000,4,0.02152922460944206,62176
CPU,8,500,50000,4,0.0442724862300885,62176
CPU,32,500,50000,4,0.3219821839375,62176
CPU,64,500,50000,4,0.9376361998333335,62176
CPU,2,1000,50000,4,0.043712791434782614,62176
CPU,8,1000,50000,4,0.08557547779661018,62176
CPU,32,1000,50000,4,0.6230824124444445,62176
CPU,64,1000,50000,4,1.9112277393333335,62176
CPU,2,100,100000,4,0.010544586402953587,62176
CPU,8,100,100000,4,0.026961734795698928,62176
CPU,32,100,100000,4,0.17356175220689654,62176
CPU,64,100,100000,4,0.4760608380909091,62176
CPU,2,500,100000,4,0.04686310504672897,62176
CPU,8,500,100000,4,0.08463008468333334,62176
CPU,32,500,100000,4,0.6740421401250001,62176
CPU,64,500,100000,4,1.8268472956666668,62176
CPU,2,1000,100000,4,0.08644842544827587,62176
CPU,8,1000,100000,4,0.16028247612500002,62176
CPU,32,1000,100000,4,1.26337286875,62176
CPU,64,1000,100000,4,3.116135404,62176
CPU,2,100,10000,16,0.004402494481938326,62176
CPU,8,100,10000,16,0.020153713475806453,62176
CPU,32,100,10000,16,0.07411256247058824,62176
CPU,64,100,10000,16,0.149760633,62176
CPU,2,500,10000,16,0.01757276241403509,62176
CPU,8,500,10000,16,0.043695798200000004,62176
CPU,32,500,10000,16,0.27175997568421056,62176
CPU,64,500,10000,16,0.5588702294444444,62176
CPU,2,1000,10000,16,0.035909912642857145,62176
CPU,8,1000,10000,16,0.08995174271428572,62176
CPU,32,1000,10000,16,0.5080462544,62176
CPU,64,1000,10000,16,1.1941835054,62176
CPU,2,100,20000,16,0.008278851294701987,62176
CPU,8,100,20000,16,0.039189189359375,62176
CPU,32,100,20000,16,0.13924186586111112,62176
CPU,64,100,20000,16,0.27393178021052633,62176
CPU,2,500,20000,16,0.03258642321428572,62176
CPU,8,500,20000,16,0.08090022762903226,62176
CPU,32,500,20000,16,0.493127935909091,62176
CPU,64,500,20000,16,1.0735457506000001,62176
CPU,2,1000,20000,16,0.06628061222368421,62176
CPU,8,1000,20000,16,0.159533572625,62176
CPU,32,1000,20000,16,0.9863777663333334,62176
CPU,64,1000,20000,16,2.1627110873333337,62176
CPU,2,100,50000,16,0.022247542613333334,62176
CPU,8,100,50000,16,0.1006843988,62176
CPU,32,100,50000,16,0.3488393514,62176
CPU,64,100,50000,16,0.648064128375,62176
CPU,2,500,50000,16,0.07625575959090909,62176
CPU,8,500,50000,16,0.19021577640740742,62176
