Device,Time,Memory,Order,NSamples,NTraces,"NLabels, type"
CPU,0.5435584326,9830736,8,10000,200000,1 scalar label
CPU,0.00524082823294858,7572112,16,50,10000,1 scalar label
CPU,0.00738514219350074,7612112,16,50,50000,1 scalar label
CPU,0.00974208240350877,7662096,16,50,100000,1 scalar label
CPU,0.0142061015596591,7762064,16,50,200000,1 scalar label
CPU,0.028972506583815,8062096,16,50,500000,1 scalar label
CPU,0.0075458625060423,9640784,16,100,10000,1 scalar label
CPU,0.0100756570584677,9680784,16,100,50000,1 scalar label
CPU,0.0129795646805195,9730768,16,100,100000,1 scalar label
CPU,0.0192518810192308,9830736,16,100,200000,1 scalar label
CPU,0.0388234232015504,10130768,16,100,500000,1 scalar label
CPU,0.0310077462098765,9640784,16,1000,10000,1 scalar label
CPU,0.0524911813958333,9680784,16,1000,50000,1 scalar label
CPU,0.0737353109264706,9730768,16,1000,100000,1 scalar label
CPU,0.115286943340909,9830736,16,1000,200000,1 scalar label
CPU,0.235515362,10130768,16,1000,500000,1 scalar label
CPU,0.0554367341868132,9640784,16,2000,10000,1 scalar label
CPU,0.0928327377222222,9680784,16,2000,50000,1 scalar label
CPU,0.136142805324324,9730768,16,2000,100000,1 scalar label
CPU,0.216161096541667,9830736,16,2000,200000,1 scalar label
CPU,0.456525208181818,10130768,16,2000,500000,1 scalar label
CPU,0.133179609631579,9640784,16,5000,10000,1 scalar label
CPU,0.220014931217391,9680784,16,5000,50000,1 scalar label
CPU,0.318018360625,9730768,16,5000,100000,1 scalar label
CPU,0.5157795581,9830736,16,5000,200000,1 scalar label
CPU,1.1208875874,10130768,16,5000,500000,1 scalar label
CPU,0.265485662263158,9640784,16,10000,10000,1 scalar label
CPU,0.42405276575,9680784,16,10000,50000,1 scalar label
CPU,0.616518010777778,9730768,16,10000,100000,1 scalar label
CPU,1.0269583182,9830736,16,10000,200000,1 scalar label
CPU,0.00947551602083334,7572112,32,50,10000,1 scalar label
CPU,0.0158985960984127,7612112,32,50,50000,1 scalar label
CPU,0.0241102942211539,7662096,32,50,100000,1 scalar label
CPU,0.0390838968828125,7762064,32,50,200000,1 scalar label
CPU,0.0799806034603175,8062096,32,50,500000,1 scalar label
CPU,0.0142032045056818,9640784,32,100,10000,1 scalar label
CPU,0.0205261191311475,9680784,32,100,50000,1 scalar label
CPU,0.0278796327555556,9730768,32,100,100000,1 scalar label
CPU,0.043876687754386,9830736,32,100,200000,1 scalar label
CPU,0.0931216712592593,10130768,32,100,500000,1 scalar label
CPU,0.0993470015294118,9640784,32,1000,10000,1 scalar label
CPU,0.1400259315,9680784,32,1000,50000,1 scalar label
CPU,0.186245074925926,9730768,32,1000,100000,1 scalar label
CPU,0.272378684789474,9830736,32,1000,200000,1 scalar label
CPU,0.537579558,10130768,32,1000,500000,1 scalar label
CPU,0.193145506576923,9640784,32,2000,10000,1 scalar label
CPU,0.278628970055556,9680784,32,2000,50000,1 scalar label
CPU,0.363245075214286,9730768,32,2000,100000,1 scalar label
CPU,0.5393072381,9830736,32,2000,200000,1 scalar label
CPU,1.059720938,10130768,32,2000,500000,1 scalar label
CPU,0.468672874818182,9640784,32,5000,10000,1 scalar label
CPU,0.662530728375,9680784,32,5000,50000,1 scalar label
CPU,0.868041640166667,9730768,32,5000,100000,1 scalar label
CPU,1.30902336975,9830736,32,5000,200000,1 scalar label
CPU,2.633930793,10130768,32,5000,500000,1 scalar label
CPU,0.922643071,9640784,32,10000,10000,1 scalar label
CPU,1.28948632325,9680784,32,10000,50000,1 scalar label
CPU,1.73878561566667,9730768,32,10000,100000,1 scalar label
CPU,2.6194490245,9830736,32,10000,200000,1 scalar label
CPU,0.00273489438773275,49024,2,50,10000,16 vec label
CPU,0.0123039961253071,49024,2,50,50000,16 vec label
CPU,0.0244369393170732,49024,2,50,100000,16 vec label
CPU,0.0464224915185185,49024,2,50,200000,16 vec label
CPU,0.115536841454545,49024,2,50,500000,16 vec label
CPU,0.00439531887598945,62176,2,100,10000,16 vec label
CPU,0.020243805340081,62176,2,100,50000,16 vec label
