Device,Order,NSamples,NTraces,NLabels,Time
GPU,16,1000,10000,8,0.032
GPU,32,1000,10000,8,0.062
GPU,64,1000,10000,8,0.126
GPU,2,100,20000,8,0.001
GPU,4,100,20000,8,0.001
GPU,8,100,20000,8,0.003
GPU,16,100,20000,8,0.006
GPU,32,100,20000,8,0.011
GPU,64,100,20000,8,0.023
GPU,2,500,20000,8,0.006
GPU,4,500,20000,8,0.008
GPU,8,500,20000,8,0.016
GPU,16,500,20000,8,0.03
GPU,32,500,20000,8,0.059
GPU,64,500,20000,8,0.118
GPU,2,1000,20000,8,0.017
GPU,4,1000,20000,8,0.022
GPU,8,1000,20000,8,0.034
GPU,16,1000,20000,8,0.064
GPU,32,1000,20000,8,0.123
GPU,64,1000,20000,8,0.242
GPU,2,100,50000,8,0.003
GPU,4,100,50000,8,0.005
GPU,8,100,50000,8,0.008
GPU,16,100,50000,8,0.014
GPU,32,100,50000,8,0.029
GPU,64,100,50000,8,0.058
GPU,2,500,50000,8,0.014
GPU,4,500,50000,8,0.023
GPU,8,500,50000,8,0.039
GPU,16,500,50000,8,0.076
GPU,32,500,50000,8,0.149
GPU,64,500,50000,8,0.295
GPU,2,1000,50000,8,0.04
GPU,4,1000,50000,8,0.048
GPU,8,1000,50000,8,0.083
GPU,16,1000,50000,8,0.154
GPU,32,1000,50000,8,0.301
GPU,64,1000,50000,8,0.59
GPU,2,100,100000,8,0.008
GPU,4,100,100000,8,0.009
GPU,8,100,100000,8,0.015
GPU,16,100,100000,8,0.029
GPU,32,100,100000,8,0.059
GPU,64,100,100000,8,0.117
GPU,2,500,100000,8,0.039
GPU,4,500,100000,8,0.056
GPU,8,500,100000,8,0.085
GPU,16,500,100000,8,0.155
GPU,32,500,100000,8,0.301
GPU,64,500,100000,8,0.591
GPU,2,1000,100000,8,0.081
GPU,4,1000,100000,8,0.102
GPU,8,1000,100000,8,0.163
GPU,16,1000,100000,8,0.314
GPU,32,1000,100000,8,0.603
GPU,64,1000,100000,8,1
GPU,2,100,10000,16,0.001
GPU,4,100,10000,16,0.001
GPU,8,100,10000,16,0.002
GPU,16,100,10000,16,0.005
GPU,32,100,10000,16,0.01
GPU,64,100,10000,16,0.041
GPU,2,500,10000,16,0.007
GPU,4,500,10000,16,0.01
GPU,8,500,10000,16,0.016
GPU,16,500,10000,16,0.028
GPU,32,500,10000,16,0.057
GPU,64,500,10000,16,0.294
GPU,2,1000,10000,16,0.019
GPU,4,1000,10000,16,0.025
